Gene	strand	SwitchScore	Tissue1	Tissue1Inc	Tissue2	Tissue2Inc	GeneDescription	chr	start	end	Event_hg18
TRPT1	-	0.63	cerebellum	1	BT474	0.37	tRNA phosphotransferase 1 isoform 2,tRNA phosph	chr11	64224099	64224210	chr11:63748148-63748258:-
TRPT1	-	0.45	cerebellum	0.55	breast	1.00	tRNA phosphotransferase 1 isoform 2,tRNA phosph	chr11	64224800	64224970	chr11:63748849-63749018:-
TRPT1	-	0.43	MCF7	0.42	skelMuscle	0.84	tRNA phosphotransferase 1 isoform 2,tRNA phosph	chr11	64225785	64225869	chr11:63749834-63749917:-
NUDT22	+	0.47	BT474	0.16	T47D	0.63	nudix (nucleoside diphosphate linked moiety,nudix (n	chr11	64227567	64227666	chr11:63751616-63751714:+
APBB1	-	0.89	cerebellum	0.89	adipose	0.00	amyloid beta A4 precursor protein-binding,,amyloid b	chr11	6401976	6401982	chr11:6379783-6379788:-
n/a	-	0.54	HME	0.87	liver	0.34	splicing factor 1 isoform 2,splicing factor 1 isoform 3,	chr11	64765950	64766155	chr11:64289999-64290203:-
n/a	-	0.35	breast	1	lymphNode	0.65	splicing factor 1 isoform 2,splicing factor 1 isoform 3,	chr11	64773429	64773505	chr11:64297478-64297553:-
NAALADL1	-	0.27	adipose	1	testes	0.73	N-acetylated alpha-linked acidic	chr11	65046188	65046362	chr11:64570237-64570410:-
NAALADL1	-	0.36	adipose	1	testes	0.64	N-acetylated alpha-linked acidic	chr11	65046188	65046526	chr11:64570237-64570574:-
ARFIP2	-	0.33	cerebellum	1	adipose	0.67	ADP-ribosylation factor interacting protein 2,ADP-rib	chr11	6480322	6480463	chr11:6458129-6458269:-
FXC1,TIM9b	+	0.58	HME	1	lymphNode	0.42	fracture callus 1 homolog,Homo sapiens small zinc fi	chr11	6481756	6481852	chr11:6459563-6459658:+
DPF2	+	0.32	cerebellum	0.68	skelMuscle	1.00	D4, zinc and double PHD fingers family 2,D4, zinc a	chr11	65344579	65344621	chr11:64868627-64868668:+
LTBP3	-	0.66	MB435	0.18	adipose	0.84	latent transforming growth factor beta binding,latent	chr11	65540012	65540153	chr11:65064060-65064200:-
FLJ00043	+	0.52	MCF7	1	lymphNode	0.48	signal-induced proliferation-associated protein,signa	chr11	65583591	65583765	chr11:65107639-65107812:+
HTATIP	+	0.29	colon	0.73	testes	0.44	HIV-1 Tat interactive protein, 60kDa isoform 2,HIV-1	chr11	65713347	65713503	chr11:65237395-65237550:+
YIF1A	-	0.3	cerebellum	1	MCF7	0.70	Yip1 interacting factor homolog,Yip1 interacting fact	chr11	66285380	66285536	chr11:65809428-65809583:-
ILK	+	0.32	MB435	1	brain	0.68	integrin-linked kinase,integrin-linked kinase,integrin-	chr11	6608045	6608211	chr11:6585852-6586017:+
SLC29A2	-	0.52	cerebellum	1	MCF7	0.48	solute carrier family 29 (nucleoside,solute carrier fam	chr11	66366430	66366564	chr11:65890478-65890611:-
SLC29A2	-	0.27	MCF7	0.73	BT474	1.00	solute carrier family 29 (nucleoside,solute carrier fa	chr11	66368536	66368671	chr11:65892584-65892718:-
SLC29A2	-	0.4	cerebellum	1	BT474	0.60	solute carrier family 29 (nucleoside,solute carrier fam	chr11	66369059	66369199	chr11:65893107-65893246:-
PELI3	+	0.64	cerebellum	0.36	MB435	1.00	pellino 3 alpha,pellino 3 alpha,Protein pellino homolo	chr11	66468832	66468904	chr11:65992880-65992951:+
RCE1	+	0.53	HME	1	lymphNode	0.47	prenyl protein peptidase RCE1 isoform 1,prenyl prot	chr11	66845499	66845562	chr11:66369547-66369609:+
hSSH-3,SSH3	+	0.29	cerebellum	1	MCF7	0.71	slingshot homolog 3,Homo sapiens mRNA for hSSH	chr11	67307548	67307737	chr11:66831596-66831784:+
PPP1CA	-	0.31	cerebellum	0.69	heart	1.00	protein phosphatase 1, catalytic subunit, alpha,prote	chr11	67401067	67401199	chr11:66925115-66925246:-
PPP1CA	-	0.39	cerebellum	0.61	heart	1.00	protein phosphatase 1, catalytic subunit, alpha,protei	chr11	67401067	67401232	chr11:66925115-66925279:-
S6Kb,RPS6KB	+	0.78	cerebellum	0.23	MCF7	1.00	ribosomal protein S6 kinase, 70kDa, polypeptide,ribo	chr11	67433125	67433194	chr11:66957173-66957241:+
RPS6KB	+	0.72	cerebellum	0.28	MCF7	1.00	NA	chr11	67433125	67433216	chr11:66957173-66957263:+
AIP	+	0.27	cerebellum	1	liver	0.73	aryl hydrocarbon receptor interacting protein	chr11	67487005	67487185	chr11:67011053-67011232:+
TCIRG1,TIRC7	+	0.28	breast	1	HME	0.72	T-cell, immune regulator 1 isoform a,T-cell, immune	chr11	68050486	68050664	chr11:67574530-67574707:+
OCIM,MYEOV	+	0.25	MB435	0.75	T47D	1.00	myeloma overexpressed,myeloma overexpressed,H	chr11	69295232	69295495	chr11:68819276-68819538:+
TMEM16A	+	0.59	BT474	0.41	liver	1.00	transmembrane protein 16A,transmembrane protein	chr11	70111125	70111191	chr11:69634880-69634945:+
EPS8L2	+	0.29	BT474	0.02	liver	0.32	epidermal growth factor receptor pathway,epiderma	chr11	706673	706801	chr11:696674-696801:+
CTTN	+	0.68	breast	1	brain	0.32	cortactin isoform a,cortactin isoform b,	chr11	70420399	70420510	chr11:69944154-69944264:+
CTTN	+	0.76	BT474	0.94	heart	0.18	cortactin isoform a,cortactin isoform b,	chr11	70421469	70421580	chr11:69945224-69945334:+
RNF121	+	0.32	MCF7	0.68	skelMuscle	1.00	ring finger protein 121 isoform 1,ring finger protein 1	chr11	71957226	71957264	chr11:71345921-71345958:+
NUMA1	-	0.64	brain	0.33	skelMuscle	0.97	nuclear mitotic apparatus protein 1,Homo sapiens m	chr11	72012400	72012442	chr11:71401095-71401136:-
C11orf51	-	0.26	MCF7	1	adipose	0.74	hypothetical protein LOC25906,hypothetical protein	chr11	72111411	72111496	chr11:71500106-71500190:-
FOLR2	+	0.4	breast	1	testes	0.61	folate receptor 2 precursor	chr11	72218560	72218734	chr11:71607253-71607426:+
FOLR2	+	0.42	breast	1	testes	0.58	folate receptor 2 precursor	chr11	72218572	72218734	chr11:71607265-71607426:+
STARD10,NY-CO-2	-	0.51	HME	0.92	lymphNode	0.41	NA	chr11	72704151	72704334	chr11:72092845-72093027:-
FKSG37,CHRDL2	-	0.31	colon	0.59	testes	0.90	chordin-like 2,Chordin-like protein 2 precursor (Chor	chr11	74701591	74701646	chr11:74090285-74090339:-
ARRB1	-	0.75	MB435	0.25	brain	1.00	arrestin beta 1 isoform A,arrestin beta 1 isoform B,	chr11	75271700	75271724	chr11:74660393-74660416:-
AK094678,BC0489	-	0.27	breast	1	MCF7	0.73	Parkinson disease 7 domain containing 1,PDDC1 p	chr11	773521	773629	chr11:763522-763629:-
C11orf67	+	0.34	breast	0.52	heart	0.18	hypothetical protein LOC28971,UPF0366 protein C1	chr11	77841018	77841060	chr11:77229713-77229754:+
RPLP2	+	0.25	cerebellum	1	HME	0.75	ribosomal protein P2,ribosomal protein P2,	chr11	810232	810357	chr11:800233-800357:+
RPLP2	+	0.25	cerebellum	1	HME	0.76	ribosomal protein P2,ribosomal protein P2,	chr11	810234	810357	chr11:800235-800357:+
CD151	+	0.52	cerebellum	1	lymphNode	0.48	CD151 antigen,CD151 antigen,CD151 antigen,CD1	chr11	834529	834745	chr11:824530-824745:+
TMEM126B	+	0.68	BT474	0.09	adipose	0.77	hypothetical protein LOC55863,hypothetical protein	chr11	85631144	85631316	chr11:85019837-85020008:+
TMEM126B	+	0.42	MCF7	1	lymphNode	0.58	hypothetical protein LOC55863,hypothetical protein	chr11	85631686	85631808	chr11:85020379-85020500:+
KIAA1597,SYTL2	-	0.27	MCF7	0.48	MB435	0.75	synaptotagmin-like 2 isoform c,synaptotagmin-like 2	chr11	85717482	85717530	chr11:85106174-85106221:-
PICALM	-	0.3	cerebellum	1	lymphNode	0.70	phosphatidylinositol-binding clathrin assembly,phos	chr11	85976622	85976682	chr11:85365314-85365373:-
PICALM	-	0.27	MCF7	1	MB435	0.73	phosphatidylinositol-binding clathrin assembly,phos	chr11	85978069	85978093	chr11:85366761-85366784:-
PICALM	-	0.92	cerebellum	1	breast	0.08	phosphatidylinositol-binding clathrin assembly,phosp	chr11	85990249	85990399	chr11:85378941-85379090:-
CHID1	-	0.29	breast	0.2	HME	0.49	chitinase domain containing 1,chitinase domain con	chr11	908541	908645	chr11:898542-898645:-
FN5,C11orf75	-	0.27	liver	1	lymphNode	0.73	hypothetical protein LOC56935,Homo sapiens FN5	chr11	93499275	93499348	chr11:92872090-92872162:-
AMOTL1	+	0.42	BT474	0.47	adipose	0.89	angiomotin like 1,angiomotin like 1,	chr11	94795010	94795160	chr11:94167825-94167974:+
CCDC82	-	0.5	cerebellum	1	adipose	0.51	coiled-coil domain containing 82	chr11	96383961	96384761	chr11:95756774-95757573:-
ARL1	-	0.5	cerebellum	1	adipose	0.50	ADP-ribosylation factor-like 1,Homo sapiens ADP-rib	chr12	101405843	101405981	chr12:100323753-100323890:-
DKFZp451I083,MY	+	0.76	skelMuscle	0.01	testes	0.76	myosin binding protein C, slow type isoform 3,myosi	chr12	101666743	101666797	chr12:100584653-100584706:+
DKFZp451I083,MY	+	0.75	skelMuscle	0.05	testes	0.80	myosin binding protein C, slow type isoform 3,myosi	chr12	101682603	101682662	chr12:100600513-100600571:+
DKFZp451I083,MY	+	0.7	skelMuscle	0.03	testes	0.73	myosin binding protein C, slow type isoform 3,myosi	chr12	101682603	101682671	chr12:100600513-100600580:+
DKFZp451I083,MY	+	0.61	skelMuscle	0.99	testes	0.38	myosin binding protein C, slow type isoform 3,myosi	chr12	101684381	101684424	chr12:100602291-100602333:+
DKFZp547P055	-	0.44	BT474	0.56	liver	1.00	Homo sapiens cDNA FLJ13975 fis, clone Y79AA100	chr12	103953413	103953534	chr12:102871322-102871442:-
KIAA1033	+	0.69	HME	1	lymphNode	0.31	hypothetical protein LOC23325,hypothetical protein	chr12	105111124	105111264	chr12:104029033-104029172:+
CSDA	-	0.66	MB435	0.75	skelMuscle	0.10	cold shock domain protein A,cold shock domain pro	chr12	10709907	10710114	chr12:10753774-10753980:-
ALKBH2	-	0.38	BT474	1	HME	0.62	alkB, alkylation repair homolog 2,alkB, alkylation rep	chr12	109090008	109090207	chr12:108012197-108012395:-
MMAB	-	0.52	T47D	0.17	testes	0.69	cob(I)alamin adenosyltransferase precursor,cob(I)ala	chr12	109561242	109561329	chr12:108483431-108483517:-
ATXN2	-	0.42	adipose	0.58	testes	1.00	ataxin 2,ataxin 2,ataxin 2,Homo sapiens cDNA FLJ4	chr12	111453676	111453845	chr12:110375864-110376032:-
ATXN2	-	0.27	cerebellum	1	brain	0.73	ataxin 2,ataxin 2,ataxin 2,Homo sapiens cDNA FLJ4	chr12	111516153	111516363	chr12:110438341-110438550:-
C12orf52	+	0.46	MCF7	1	MB435	0.54	hypothetical protein LOC84934,hypothetical protein	chr12	113186184	113186316	chr12:112108373-112108504:+
SDSL	+	0.44	breast	1	MB435	0.57	serine dehydratase-like	chr12	113429159	113429299	chr12:112351348-112351487:+
PXN	-	0.58	HME	1	colon	0.42	paxillin,Homo sapiens mRNA for Paxillin t	chr12	120215929	120216090	chr12:119138116-119138276:-
POP5	-	0.41	MCF7	0.59	T47D	1.00	processing of precursor 5, ribonuclease P/MRP	chr12	120579773	120579923	chr12:119501960-119502109:-
CAMKK2,KIAA0787	-	0.38	cerebellum	1	adipose	0.63	calcium/calmodulin-dependent protein kinase,calciu	chr12	121248605	121248734	chr12:120170792-120170920:-
CAMKK2,KIAA0787	-	0.27	MCF7	1	MB435	0.73	calcium/calmodulin-dependent protein kinase,calciu	chr12	121274055	121274585	chr12:120196242-120196771:-
n/a	+	0.29	cerebellum	1	lymphNode	0.72	n/a	chr12	121309700	121309863	chr12:120231887-120232049:+
hRFI,BC029038	+	0.47	cerebellum	1	MCF7	0.53	Homo sapiens hRFI mRNA for hypothetical protein,	chr12	121417503	121417911	chr12:120339690-120340097:+
MLXIP	+	0.6	cerebellum	0.4	breast	1.00	MLX interacting protein,MLX interacting protein,MLX	chr12	122132291	122132383	chr12:121182792-121182883:+
DKFZp547O175	-	0.55	MCF7	1	testes	0.45	ATP-binding cassette, sub-family B (MDR/TAP),,AT	chr12	122940806	122940995	chr12:121991307-121991495:-
PITPNM2	-	0.27	adipose	0.74	colon	1.00	phosphatidylinositol transfer protein,	chr12	122989786	122989948	chr12:122040287-122040448:-
MGC7036	-	0.43	breast	0.57	MCF7	1.00	hypothetical protein LOC196383	chr12	123430507	123430659	chr12:122481008-122481159:-
TMED2	+	0.74	cerebellum	0	skelMuscle	0.74	coated vesicle membrane protein	chr12	123587610	123587631	chr12:122638111-122638131:+
SMRTE,NCOR2	-	0.46	cerebellum	1	breast	0.54	nuclear receptor co-repressor 2 isoform 1,nuclear re	chr12	124327408	124327633	chr12:123377908-123378132:-
SMRTE,NCOR2	-	0.37	cerebellum	1	breast	0.64	nuclear receptor co-repressor 2 isoform 1,nuclear re	chr12	124327546	124327633	chr12:123378046-123378132:-
SMRTE,NCOR2	-	0.32	breast	1	heart	0.69	nuclear receptor co-repressor 2 isoform 1,nuclear re	chr12	124340601	124340751	chr12:123391101-123391250:-
SMRTE,NCOR2	-	0.73	cerebellum	0.83	HME	0.10	nuclear receptor co-repressor 2 isoform 1,nuclear re	chr12	124374412	124374463	chr12:123424912-123424962:-
SMRTE,NCOR2	-	0.33	BT474	1	adipose	0.67	nuclear receptor co-repressor 2 isoform 1,nuclear re	chr12	124457105	124457162	chr12:123507605-123507661:-
SCARB1	-	0.57	liver	1	testes	0.43	NA	chr12	124782682	124782811	chr12:123833182-123833310:-
SCARB1	-	0.34	cerebellum	0.66	breast	1.00	scavenger receptor class B, member 1 isoform 1,sca	chr12	124810173	124810289	chr12:123860673-123860788:-
AACS,DKFZp666F2	+	0.33	breast	1	BT474	0.67	acetoacetyl-CoA synthetase,Homo sapiens mRNA f	chr12	125136661	125136864	chr12:124187161-124187363:+
ERC1	+	0.7	cerebellum	0.3	BT474	1.00	RAB6-interacting protein 2 isoform epsilon,RAB6-int	chr12	1263033	1263165	chr12:1242461-1242592:+
RAN	+	0.25	breast	1	lymphNode	0.75	ras-related nuclear protein,ras-related nuclear protei	chr12	130872583	130872629	chr12:129923082-129923127:+
SFRS8	+	0.45	cerebellum	1	lymphNode	0.55	splicing factor, arginine/serine-rich 8,SFRS8 protein	chr12	131764455	131764686	chr12:130814954-130815184:+
KIAA1818,KIAA149	+	0.81	adipose	0.2	testes	1.00	Homo sapiens mRNA for KIAA1498 protein, partial c	chr12	131981488	131981596	chr12:131031987-131032094:+
KIAA1818,KIAA149	+	0.62	BT474	1	testes	0.38	Homo sapiens mRNA for KIAA1498 protein, partial c	chr12	132021078	132021321	chr12:131071577-131071819:+
STRAP	+	0.34	cerebellum	1	adipose	0.66	serine/threonine kinase receptor associated,Homo s	chr12	15883540	15883676	chr12:15927742-15927877:+
DKFZp564O1863,F	+	0.62	breast	1	skelMuscle	0.38	FGFR1 oncogene partner 2,HSPC123-like protein.,	chr12	26960514	26960628	chr12:27004715-27004828:+
C12orf32	+	0.56	cerebellum	1	brain	0.44	chromosome 12 open reading frame 32,	chromosom	chr12	2885262	2885534	chr12:2864690-2864961:+
C12orf32	+	0.55	cerebellum	1	brain	0.45	chromosome 12 open reading frame 32,	chromosom	chr12	2885282	2885492	chr12:2864710-2864919:+
C12orf32	+	0.54	cerebellum	1	brain	0.46	chromosome 12 open reading frame 32,	chromosom	chr12	2885282	2885534	chr12:2864710-2864961:+
TULP3	+	0.42	MB435	1	testes	0.58	tubby like protein 3,Homo sapiens tubby like protein	chr12	2920762	2920922	chr12:2900190-2900349:+
TEAD4	+	0.25	breast	0.75	MCF7	1.00	TEA domain family member 4 isoform 1,TEA domain	chr12	2994737	2994992	chr12:2974165-2974419:+
TEAD4	+	0.25	MB435	0.75	adipose	1.00	TEA domain family member 4 isoform 1,TEA domain	chr12	3017397	3017526	chr12:2996825-2996953:+
TSPAN9	+	0.29	adipose	0.95	colon	0.66	tetraspanin 9	chr12	3083652	3083719	chr12:3063080-3063146:+
KIAA1873,CAPRIN	-	0.78	cerebellum	1	lymphNode	0.22	C1q domain containing 1 isoform 2,C1q domain cont	chr12	30719078	30720915	chr12:30763280-30765116:-
AMN1	-	0.56	brain	0.44	skelMuscle	1.00	antagonist of mitotic exit network 1 homolog,Homo s	chr12	31709292	31709425	chr12:31753494-31753626:-
DNM1L	+	0.26	cerebellum	1	HME	0.74	dynamin 1-like protein isoform 1,dynamin 1-like prot	chr12	32737864	32737942	chr12:32782066-32782143:+
DKFZp313M0720,T	+	0.41	MB435	1	lymphNode	0.60	transmembrane protein 16F,Homo sapiens cDNA FL	chr12	45302013	45302093	chr12:43982064-43982143:+
PRKAG1	-	0.51	breast	1	heart	0.49	AMP-activated protein kinase, noncatalytic,AMP-acti	chr12	49005742	49005852	chr12:47685793-47685902:-
FMNL3,KIAA2014	-	0.95	colon	1	lymphNode	0.05	formin-like 3 isoform 1,Homo sapiens mRNA for KIA	chr12	49646638	49646753	chr12:48326689-48326803:-
FMNL3,KIAA2014	-	0.32	MB435	0.62	adipose	0.94	formin-like 3 isoform 1,Homo sapiens mRNA for KIA	chr12	49658441	49658594	chr12:48338492-48338644:-
POU6F1	-	0.31	cerebellum	0.7	colon	1.00	POU domain, class 6, transcription factor 1,POU do	chr12	51196798	51196927	chr12:49876849-49876977:-
NR4A1	+	0.56	adipose	0.18	skelMuscle	0.74	nuclear receptor subfamily 4, group A, member 1,nu	chr12	52043801	52043911	chr12:50723853-50723962:+
NR4A1	+	0.77	adipose	0.8	skelMuscle	0.03	nuclear receptor subfamily 4, group A, member 1,nu	chr12	52052495	52052645	chr12:50732547-50732696:+
CSAD	-	0.36	cerebellum	0.55	adipose	0.91	cysteine sulfinic acid decarboxylase-related,cysteine	chr12	53161126	53161191	chr12:51841178-51841242:-
CSAD	-	0.41	T47D	0.59	adipose	1.00	cysteine sulfinic acid decarboxylase-related,cysteine	chr12	53171272	53171441	chr12:51851324-51851492:-
CSAD	-	0.31	cerebellum	0.69	BT474	1.00	cysteine sulfinic acid decarboxylase-related,cysteine	chr12	53171881	53171988	chr12:51851933-51852039:-
mm-1,PFDN5	+	0.29	MB435	0.71	heart	1.00	prefoldin subunit 5 isoform gamma,Homo sapiens m	chr12	53295838	53296275	chr12:51975890-51976326:+
mm-1,PFDN5	+	0.54	cerebellum	1	lymphNode	0.46	prefoldin subunit 5 isoform gamma,Homo sapiens m	chr12	53296429	53297924	chr12:51976481-51977975:+
AAAS	-	0.29	breast	0.71	MCF7	1.00	achalasia, adrenocortical insufficiency,,achalasia, ad	chr12	53314750	53314849	chr12:51994802-51994900:-
PCBP2	+	0.57	liver	0.67	lymphNode	0.10	NA	chr12	53467804	53467843	chr12:52147856-52147894:+
TARBP2	+	0.27	HME	1	adipose	0.73	TAR RNA binding protein 2 isoform b,TAR RNA bin	chr12	53502019	53502184	chr12:52182071-52182235:+
COPZ1	+	0.28	cerebellum	0.97	lymphNode	0.69	coatomer protein complex, subunit zeta 1,Homo sap	chr12	54340462	54340615	chr12:53020514-53020666:+
ZNF385	-	0.38	breast	1	BT474	0.62	zinc finger protein 385,zinc finger protein 385,zinc fi	chr12	54375843	54375954	chr12:53055895-53056005:-
ITGA7	-	0.26	lymphNode	0	skelMuscle	0.26	Homo sapiens mRNA for ITGA7 variant protein, par	chr12	55686201	55686314	chr12:54366253-54366365:-
ITGA7	-	0.86	colon	0.04	skelMuscle	0.90	Homo sapiens mRNA for ITGA7 tein, part	chr12	55699869	55699989	chr12:54379921-54380040:-
ITGA7	-	0.95	colon	1	skelMuscle	0.05	Homo sapiens mRNA for ITGA7 tein, part	chr12	55700261	55700393	chr12:54380313-54380444:-
ORMDL2	+	0.28	MCF7	0.72	T47D	1.00	ORMDL2	chr12	55819090	55819173	chr12:54499142-54499224:+
DGKA,DAGK1	+	0.32	HME	1	lymphNode	0.68	diacylglycerol kinase, alpha 80kDa,diacylglycerol kin	chr12	55938510	55938560	chr12:54618562-54618611:+
CDK2	+	0.67	adipose	1	lymphNode	0.33	cyclin-dependent kinase 2 isoform 1,cyclin-depende	chr12	55969474	55969576	chr12:54649526-54649627:+
SUOX	+	0.45	cerebellum	0.55	breast	1.00	sulfite oxidase,sulfite oxidase,sulfite oxidase,sulfite o	chr12	56002542	56002720	chr12:54682594-54682771:+
MYL6,MLC-3	+	0.72	HME	0.86	lymphNode	0.15	NA	chr12	56160625	56160670	chr12:54840677-54840721:+
SMARCC2	-	0.87	BT474	1	colon	0.13	SWI/SNF-related matrix-associated,SWI/SNF-relate	chr12	56164302	56164368	chr12:54844354-54844419:-
SMARCC2	-	0.71	brain	1	colon	0.29	SWI/SNF-related matrix-associated,SWI/SNF-relate	chr12	56172936	56173029	chr12:54852988-54853080:-
USP52	-	0.31	MCF7	1	liver	0.69	ubiquitin specific protease 52,ubiquitin specific prote	chr12	56318236	56318434	chr12:54998288-54998485:-
HSD17B6	+	0.25	cerebellum	1	testes	0.75	hydroxysteroid (17-beta) dehydrogenase 6	chr12	56773838	56774165	chr12:55453890-55454216:+
NAB2	+	0.5	HME	1	lymphNode	0.50	NGFI-A binding protein 2	chr12	57093406	57093598	chr12:55773457-55773648:+
SHMT2	+	0.31	cerebellum	0.69	HME	1.00	serine hydroxymethyltransferase 2,Homo sapiens c	chr12	57231480	57231560	chr12:55911531-55911610:+
R3HDM2,KIAA1002	-	0.58	MCF7	0	skelMuscle	0.58	R3H domain containing 2,R3H domain-containing pr	chr12	57288856	57288910	chr12:55968907-55968960:-
R3HDM2,KIAA1002	-	0.32	MCF7	0.68	lymphNode	1.00	R3H domain containing 2,R3H domain-containing p	chr12	57289008	57289040	chr12:55969059-55969090:-
R3HDM2,KIAA1002	-	0.32	breast	1	lymphNode	0.68	R3H domain containing 2,R3H domain-containing p	chr12	57292571	57292667	chr12:55972622-55972717:-
RGL1,ARHGAP9	-	0.75	lymphNode	0.25	testes	1.00	Rho GTPase activating protein 9 isoform 1,Rho GTP	chr12	57473602	57473708	chr12:56153653-56153758:-
DTX3	+	0.77	T47D	1	brain	0.24	deltex 3 homolog,deltex 3 homolog,deltex 3 homolog	chr12	57605343	57605731	chr12:56285394-56285781:+
DTX3	+	0.62	T47D	1	brain	0.38	NA	chr12	57605570	57605731	chr12:56285621-56285781:+
SLC26A10	+	0.28	brain	0.72	colon	1.00	RAC/CDC42 exchange factor isoform 2,RAC/CDC4	chr12	57614515	57614605	chr12:56294566-56294655:+
OS9	+	0.44	MB435	0.46	T47D	0.90	amplified in osteosarcoma isoform 2 precursor,ampli	chr12	57720098	57720263	chr12:56400149-56400313:+
METTL1	-	0.41	MCF7	0.59	T47D	1.00	methyltransferase-like protein 1 isoform c	chr12	57769771	57769956	chr12:56449822-56450006:-
METTL1	-	0.3	MCF7	1	testes	0.70	methyltransferase-like protein 1 isoform c	chr12	57771093	57771257	chr12:56451144-56451307:-
n/a	+	0.34	cerebellum	1	breast	0.66	CD9 antigen,CD9 antigen, n/a		chr4:15295607-15295680:+	0.34	cerebellum	0.00	 testes	0.34	n/a	chr12	6200383	6200565	chr12:6179811-6179992:+
n/a	+	0.42	cerebellum	1	breast	0.58	CD9 antigen,CD9 antigen,	chr12	6200421	6200565	chr12:6179849-6179992:+
RASSF3	+	0.27	breast	1	MB435	0.73	Ras association (RalGDS/AF-6) domain family 3,Ra	chr12	64688215	64688453	chr12:63368263-63368500:+
LTBR	+	0.31	breast	1	lymphNode	0.69	lymphotoxin beta receptor,lymphotoxin beta recepto	chr12	6388397	6388505	chr12:6367825-6367932:+
HOM-TES-103,DKF	-	0.48	cerebellum	0.13	lymphNode	0.61	hypothetical protein LOC25900 isoform 4,hypothetic	chr12	6551397	6551503	chr12:6530825-6530930:-
ING4	-	0.39	cerebellum	0.61	breast	1.00	inhibitor of growth family, member 4,inhibitor of grow	chr12	6653229	6653396	chr12:6632657-6632823:-
DYRK2	+	0.43	breast	0.57	colon	1.00	dual-specificity tyrosine-(Y)-phosphorylation,dual-sp	chr12	67649796	67649945	chr12:66329844-66329992:+
ZNF384	-	0.48	MCF7	0.08	testes	0.56	nuclear matrix transcription factor 4 isoform a,nuclea	chr12	6672349	6672532	chr12:6651777-6651959:-
ZNF384	-	0.31	colon	0.5	lymphNode	0.19	nuclear matrix transcription factor 4 isoform a,nucle	chr12	6678662	6678710	chr12:6658090-6658137:-
derp10,COPS7A	+	0.29	HME	1	lymphNode	0.71	COP9 complex subunit 7a,COP9 complex subunit 7	chr12	6727925	6728001	chr12:6707353-6707428:+
CDCA3	-	0.27	MCF7	0.73	HME	1.00	trigger of mitotic entry 1,Homo sapiens cDNA FLJ34	chr12	6850832	6851009	chr12:6830258-6830434:-
B7,LRRC23	+	0.38	MB435	0.62	skelMuscle	1.00	leucine-rich repeat-containing protein 23,leucine-rich	chr12	6912729	6913027	chr12:6892155-6892452:+
PEX5	+	0.57	brain	0.43	testes	1.00	NA	chr12	7202240	7202351	chr12:7246104-7246214:+
KIAA0946,ZDHHC1	+	0.43	adipose	0.57	brain	1.00	huntingtin interacting protein 14,Homo sapiens mRN	chr12	76797433	76797537	chr12:75715345-75715448:+
WNK1	+	0.25	HME	0.33	T47D	0.58	WNK lysine deficient protein kinase 1,Serine/threoni	chr12	871264	871348	chr12:850692-850775:+
WNK1	+	0.69	skelMuscle	1	testes	0.31	WNK lysine deficient protein kinase 1,Serine/threoni	chr12	879572	880031	chr12:859000-859458:+
WNK1	+	0.83	cerebellum	1	adipose	0.17	WNK lysine deficient protein kinase 1,Serine/threoni	chr12	880720	880999	chr12:860148-860426:+
NDUFA12	-	0.25	cerebellum	1	MB435	0.75	13kDa differentiation-associated protein	chr12	94994169	94994257	chr12:93912077-93912164:-
DKFZp434O158,VE	+	0.31	BT474	0.04	skelMuscle	0.35	transmembrane protein vezatin,transmembrane pro	chr12	95224179	95224236	chr12:94142087-94142143:+
METAP2	+	0.27	cerebellum	1	lymphNode	0.73	methionyl aminopeptidase 2,methionyl aminopeptid	chr12	95485878	95485981	chr12:94403786-94403888:+
TMTC4	-	0.49	BT474	0.51	testes	1.00	transmembrane and tetratricopeptide repeat,transme	chr13	100670359	100670569	chr13:100120615-100120824:-
ARHGEF7,Nbla103	+	0.33	cerebellum	1	adipose	0.68	Rho guanine nucleotide exchange factor 7 isoform,	chr13	111205288	111205373	chr13:110655637-110655721:+
DCUN1D2	-	0.31	cerebellum	1	testes	0.69	DCN1, defective in cullin neddylation 1, domain,Ho	chr13	113483839	113484056	chr13:113186156-113186372:-
CRYL1	-	0.48	cerebellum	0.25	brain	0.72	Lambda-crystallin (CRYL1 protein) (Crystallin, lambd	chr13	20439592	20439754	chr13:19911732-19911893:-
IFT88	+	0.48	MB435	1	T47D	0.53	intraflagellar transport 88 homolog isoform 1,intraflag	chr13	20690704	20690815	chr13:20162844-20162954:+
GTF3A	+	0.27	lymphNode	0.01	skelMuscle	0.28	Homo sapiens cDNA FLJ25264 fis, clone STM0505	chr13	27426253	27426341	chr13:26898391-26898478:+
POLR1D	+	0.5	breast	1	brain	0.50	polymerase (RNA) I polypeptide D isoform 2,Homo s	chr13	27621336	27622009	chr13:27093474-27094146:+
HSPH1	-	0.32	cerebellum	1	lymphNode	0.68	heat shock 105kD,heat shock 105kD,heat shock 10	chr13	31143791	31143923	chr13:30615929-30616060:-
LOC88523,PFAAP5	-	0.49	cerebellum	1	colon	0.51	Homo sapiens phosphonoformate immuno-associate	chr13	32535768	32537027	chr13:32007906-32009164:-
EXOSC8	+	0.42	cerebellum	1	lymphNode	0.58	exosome component 8,exosome component 8,Homo	chr13	37002272	37002309	chr13:36474410-36474446:+
